fecha,concepto,monto,categoria
2022-01-01,Compra de suministros,250.00,Material de oficina
2022-01-02,Pago de renta,1500.00,Alquiler
2022-01-03,Compra de suministros,175.50,Material de oficina
2022-01-04,Gastos de envío,50.00,Envío y logística
2022-01-04,Comida para empleados,1000.00,Alimentación
2022-01-05,Compra de equipo,3000.00,Equipo de oficina
2022-01-05,Compra de suministros,75.00,Material de oficina
2022-01-06,Comida para empleados,750.00,Alimentación
2022-01-07,Gastos de envío,80.00,Envío y logística
2022-01-07,Compra de suministros,120.00,Material de oficina
